in_channels,out_channels,kernel_size,stride,groups,hw
68,272,1,1,1,14
272,272,3,1,34,7
272,272,3,2,34,7
272,272,1,1,1,7
272,68,1,1,1,7
68,272,1,1,1,7
280,280,3,1,35,14
280,280,3,2,35,14
280,280,1,1,1,14
280,70,1,1,1,14
70,280,1,1,1,14
280,280,3,1,35,7
280,280,3,2,35,7
280,280,1,1,1,7
280,70,1,1,1,7
70,280,1,1,1,7
288,288,3,1,36,14
288,288,3,2,36,14
288,288,1,1,1,14
288,72,1,1,1,14
72,288,1,1,1,14
288,288,3,1,36,7
288,288,3,2,36,7
288,288,1,1,1,7
288,72,1,1,1,7
72,288,1,1,1,7
296,296,3,1,37,14
296,296,3,2,37,14
296,296,1,1,1,14
296,74,1,1,1,14
74,296,1,1,1,14
296,296,3,1,37,7
296,296,3,2,37,7
296,296,1,1,1,7
296,74,1,1,1,7
74,296,1,1,1,7
304,304,3,1,38,14
304,304,3,2,38,14
304,304,1,1,1,14
304,76,1,1,1,14
76,304,1,1,1,14
304,304,3,1,38,7
304,304,3,2,38,7
304,304,1,1,1,7
304,76,1,1,1,7
76,304,1,1,1,7
312,312,3,1,39,14
312,312,3,2,39,14
312,312,1,1,1,14
312,78,1,1,1,14
78,312,1,1,1,14
312,312,3,1,39,7
312,312,3,2,39,7
312,312,1,1,1,7
312,78,1,1,1,7
78,312,1,1,1,7
320,320,3,1,40,14
320,320,3,2,40,14
320,320,1,1,1,14
320,80,1,1,1,14
80,320,1,1,1,14
320,320,3,1,40,7
320,320,3,2,40,7
320,320,1,1,1,7
320,80,1,1,1,7
80,320,1,1,1,7
328,328,3,1,41,14
328,328,3,2,41,14
328,328,1,1,1,14
328,82,1,1,1,14
82,328,1,1,1,14
328,328,3,1,41,7
328,328,3,2,41,7
328,328,1,1,1,7
328,82,1,1,1,7
82,328,1,1,1,7
336,336,3,1,42,14
336,336,3,2,42,14
336,336,1,1,1,14
336,84,1,1,1,14
84,336,1,1,1,14
336,336,3,1,42,7
336,336,3,2,42,7
336,336,1,1,1,7
336,84,1,1,1,7
84,336,1,1,1,7
16,16,3,1,1,112
8,16,1,1,1,112
5,16,1,1,1,112
16,16,3,2,1,112
8,16,1,2,1,112
5,16,1,2,1,112
16,16,1,1,1,112
16,4,1,1,1,112
4,16,1,1,1,112
16,16,3,1,1,56
8,16,1,1,1,56
5,16,1,1,1,56
16,16,3,2,1,56
8,16,1,2,1,56
5,16,1,2,1,56
16,16,1,1,1,56
16,4,1,1,1,56
4,16,1,1,1,56
32,32,3,1,2,112
16,32,1,1,1,112
10,32,1,1,1,112
32,32,3,2,2,112
16,32,1,2,1,112
10,32,1,2,1,112
32,32,1,1,1,112
32,8,1,1,1,112
8,32,1,1,1,112
32,32,3,1,2,56
16,32,1,1,1,56
10,32,1,1,1,56
32,32,3,2,2,56
16,32,1,2,1,56
10,32,1,2,1,56
32,32,1,1,1,56
32,8,1,1,1,56
8,32,1,1,1,56
48,48,3,1,3,112
24,48,1,1,1,112
16,48,1,1,1,112
48,48,3,2,3,112
24,48,1,2,1,112
16,48,1,2,1,112
48,48,1,1,1,112
48,12,1,1,1,112
12,48,1,1,1,112
48,48,3,1,3,56
24,48,1,1,1,56
16,48,1,1,1,56
48,48,3,2,3,56
24,48,1,2,1,56
16,48,1,2,1,56
48,48,1,1,1,56
48,12,1,1,1,56
12,48,1,1,1,56
64,64,3,1,4,112
32,64,1,1,1,112
21,64,1,1,1,112
64,64,3,2,4,112
32,64,1,2,1,112
21,64,1,2,1,112
64,64,1,1,1,112
64,16,1,1,1,112
16,64,1,1,1,112
64,64,3,1,4,56
32,64,1,1,1,56
21,64,1,1,1,56
64,64,3,2,4,56
32,64,1,2,1,56
21,64,1,2,1,56
64,64,1,1,1,56
64,16,1,1,1,56
16,64,1,1,1,56
32,32,3,1,2,56
32,32,3,2,2,56
32,32,1,1,1,56
32,8,1,1,1,56
8,32,1,1,1,56
32,32,3,1,2,28
32,32,3,2,2,28
32,32,1,1,1,28
32,8,1,1,1,28
8,32,1,1,1,28
48,48,3,1,3,56
48,48,3,2,3,56
48,48,1,1,1,56
48,12,1,1,1,56
12,48,1,1,1,56
48,48,3,1,3,28
48,48,3,2,3,28
48,48,1,1,1,28
48,12,1,1,1,28
12,48,1,1,1,28
64,64,3,1,4,56
64,64,3,2,4,56
64,64,1,1,1,56
64,16,1,1,1,56
16,64,1,1,1,56
64,64,3,1,4,28
64,64,3,2,4,28
64,64,1,1,1,28
64,16,1,1,1,28
16,64,1,1,1,28
80,80,3,1,5,56
80,80,3,2,5,56
80,80,1,1,1,56
80,20,1,1,1,56
20,80,1,1,1,56
80,80,3,1,5,28
80,80,3,2,5,28
80,80,1,1,1,28
80,20,1,1,1,28
20,80,1,1,1,28
96,96,3,1,6,56
96,96,3,2,6,56
96,96,1,1,1,56
96,24,1,1,1,56
24,96,1,1,1,56
96,96,3,1,6,28
96,96,3,2,6,28
96,96,1,1,1,28
96,24,1,1,1,28
24,96,1,1,1,28
112,112,3,1,7,56
112,112,3,2,7,56
112,112,1,1,1,56
112,28,1,1,1,56
28,112,1,1,1,56
112,112,3,1,7,28
112,112,3,2,7,28
112,112,1,1,1,28
112,28,1,1,1,28
28,112,1,1,1,28
128,128,3,1,8,56
128,128,3,2,8,56
128,128,1,1,1,56
128,32,1,1,1,56
32,128,1,1,1,56
128,128,3,1,8,28
128,128,3,2,8,28
128,128,1,1,1,28
128,32,1,1,1,28
32,128,1,1,1,28
64,64,3,1,4,28
64,64,3,2,4,28
64,64,1,1,1,28
64,16,1,1,1,28
16,64,1,1,1,28
64,64,3,1,4,14
64,64,3,2,4,14
64,64,1,1,1,14
